ID,Index,MV,RV
21,Bald tip length,14.19,14.9122807
173,Bald tip length,10.16,16.66666667
190,Bald tip length,27.03,25.65789474
191,Bald tip length,16.11,13.59649123
192,Bald tip length,11.12,9.649122807
193,Bald tip length,15.34,15.35087719
194,Bald tip length,32.21,33.55263158
195,Bald tip length,26.27,27.63157895
201,Bald tip length,36.24,31.14035088
202,Bald tip length,38.15,41.66666667
219,Bald tip length,34.7,38.37719298
233,Bald tip length,6.33,21.49122807
235,Bald tip length,11.12,22.80701754
304,Bald tip length,18.79,19.73684211
305,Bald tip length,30.87,34.21052632
308,Bald tip length,23.2,25.65789474
313,Bald tip length,4.98,22.5877193
314,Bald tip length,3.26,22.14912281
315,Bald tip length,5.18,36.18421053
320,Bald tip length,21.67,19.07894737
321,Bald tip length,12.46,12.06140351
323,Bald tip length,22.24,21.71052632
325,Bald tip length,35.47,22.80701754
326,Bald tip length,4.03,11.40350877
327,Bald tip length,5.94,19.51754386
328,Bald tip length,3.26,23.24561404
329,Bald tip length,6.14,37.71929825
330,Bald tip length,3.45,21.92982456
331,Bald tip length,4.03,25.65789474
332,Bald tip length,3.26,17.98245614
333,Bald tip length,4.6,19.73684211
334,Bald tip length,3.45,41.44736842
335,Bald tip length,2.68,17.76315789
336,Bald tip length,13.04,14.03508772
341,Bald tip length,5.18,53.07017544
342,Bald tip length,3.26,17.76315789
343,Bald tip length,7.86,41.88596491
344,Bald tip length,3.45,22.36842105
346,Bald tip length,2.68,28.50877193
347,Bald tip length,4.41,55.70175439
348,Bald tip length,4.41,51.53508772
349,Bald tip length,3.45,42.54385965
350,Bald tip length,5.37,46.92982456
361,Bald tip length,40.26,43.85964912
362,Bald tip length,27.42,30.48245614
363,Bald tip length,45.82,51.31578947
364,Bald tip length,39.11,42.3245614
365,Bald tip length,43.33,46.27192982
366,Bald tip length,38.73,42.3245614
367,Bald tip length,21.47,23.90350877
368,Bald tip length,15.72,17.10526316
369,Bald tip length,28.18,27.63157895
370,Bald tip length,28.57,29.8245614
1 (1),Bald tip length,17.64,21.1152
1 (10),Bald tip length,21.28,18.5712
1 (11),Bald tip length,7.67,14.2464
1 (12),Bald tip length,19.94,17.808
1 (13),Bald tip length,12.85,33.5808
1 (14),Bald tip length,12.46,11.1936
1 (15),Bald tip length,18.79,18.3168
1 (16),Bald tip length,6.52,15.5184
1 (17),Bald tip length,26.65,17.808
1 (18),Bald tip length,22.62,28.4928
1 (19),Bald tip length,13.61,7.1232
1 (2),Bald tip length,7.86,30.2736
1 (20),Bald tip length,14,16.536
1 (21),Bald tip length,28.57,28.2384
1 (22),Bald tip length,32.98,11.448
1 (23),Bald tip length,15.53,9.6672
1 (24),Bald tip length,4.22,4.8336
1 (25),Bald tip length,3.64,15.264
1 (26),Bald tip length,27.61,18.5712
1 (27),Bald tip length,18.41,26.2032
1 (28),Bald tip length,28.18,38.4144
1 (29),Bald tip length,27.03,9.9216
1 (3),Bald tip length,16.49,16.536
1 (30),Bald tip length,5.18,5.3424
1 (31),Bald tip length,7.09,25.6944
1 (32),Bald tip length,19.56,13.4832
1 (33),Bald tip length,22.24,27.984
1 (34),Bald tip length,2.49,24.9312
1 (35),Bald tip length,3.26,22.6416
1 (36),Bald tip length,2.88,20.6064
1 (37),Bald tip length,9.59,11.7024
1 (38),Bald tip length,19.17,31.2912
1 (39),Bald tip length,24.54,29.5104
1 (4),Bald tip length,38.73,38.9232
1 (40),Bald tip length,17.45,13.4832
1 (41),Bald tip length,22.82,21.3696
1 (42),Bald tip length,6.71,26.2032
1 (43),Bald tip length,8.05,24.4224
1 (44),Bald tip length,13.23,14.2464
1 (45),Bald tip length,23.97,32.3088
1 (46),Bald tip length,7.67,11.9568
1 (47),Bald tip length,11.12,8.3952
1 (48),Bald tip length,36.62,45.0288
1 (49),Bald tip length,31.25,31.5456
1 (5),Bald tip length,14.19,11.1936
1 (50),Bald tip length,5.18,38.9232
1 (51),Bald tip length,12.27,25.44
1 (52),Bald tip length,5.56,37.3968
1 (53),Bald tip length,19.17,9.4128
1 (54),Bald tip length,11.31,11.1936
1 (55),Bald tip length,12.85,15.264
1 (56),Bald tip length,17.26,17.0448
1 (57),Bald tip length,27.8,52.152
1 (6),Bald tip length,17.45,13.2288
1 (7),Bald tip length,23.39,25.9488
1 (8),Bald tip length,24.16,10.6848
1 (9),Bald tip length,16.49,17.2992
2 (156),Bald tip length,12.65,12.06140351
2 (171),Bald tip length,22.43,28.72807018
2 (187),Bald tip length,9.2,12.06140351
2 (203),Bald tip length,17.45,17.76315789
2 (21),Bald tip length,14.19,25.21929825
cao (111),Bald tip length,6.9,17.98245614
cao (14),Bald tip length,65.96,71.92982456
cao (23),Bald tip length,7.48,19.95614035
cao (24),Bald tip length,23.97,23.68421053
cao (25),Bald tip length,21.47,24.12280702
cao (26),Bald tip length,3.26,24.12280702
cao (301),Bald tip length,1.34,10.74561404
cao (302),Bald tip length,13.04,13.59649123
cao (303),Bald tip length,1.34,14.69298246
cao (304),Bald tip length,2.3,23.02631579
cao (305),Bald tip length,14.76,14.47368421
cao (306),Bald tip length,11.5,14.47368421
cao (307),Bald tip length,13.8,14.03508772
cao (308),Bald tip length,19.75,19.07894737
cao (373),Bald tip length,3.26,39.25438596
cao (374),Bald tip length,5.18,14.47368421
cao (376),Bald tip length,4.79,23.68421053
cao (408),Bald tip length,3.45,55.26315789
cao (409),Bald tip length,3.26,23.24561404
cao (410),Bald tip length,4.79,52.4122807
cao (411),Bald tip length,3.83,32.45614035
cao (412),Bald tip length,4.03,19.29824561
cao (413),Bald tip length,3.26,19.95614035
cao (414),Bald tip length,3.45,47.36842105
cao (415),Bald tip length,4.6,42.98245614
cao (416),Bald tip length,3.07,41.22807018
cao (417),Bald tip length,4.79,26.53508772
cao (418),Bald tip length,6.9,53.72807018
cao (419),Bald tip length,18.79,17.98245614
cao (420),Bald tip length,16.49,15.78947368
cao (421),Bald tip length,18.6,16.22807018
cao (423),Bald tip length,31.44,26.09649123
cao (7),Bald tip length,5.18,36.84210526
cao (8),Bald tip length,16.87,23.90350877
21,Ear length,112.65,115.443038
173,Ear length,98.66,110.1265823
190,Ear length,161.33,162.0253165
191,Ear length,123.26,129.3670886
192,Ear length,136.73,136.4556962
193,Ear length,151.23,150.6329114
194,Ear length,163.14,160.7594937
195,Ear length,152.27,157.9746835
201,Ear length,159.52,159.2405063
202,Ear length,172.73,172.6582278
219,Ear length,145.79,148.1012658
233,Ear length,128.96,147.8481013
235,Ear length,141.65,158.9873418
304,Ear length,134.66,134.9367089
305,Ear length,148.9,137.721519
308,Ear length,124.3,124.3037975
313,Ear length,105.14,129.1139241
314,Ear length,111.61,140.7594937
315,Ear length,101.51,143.5443038
320,Ear length,123.78,125.5696203
321,Ear length,135.18,135.9493671
323,Ear length,154.6,152.9113924
325,Ear length,158.74,158.2278481
326,Ear length,92.97,117.9746835
327,Ear length,91.15,120.5063291
328,Ear length,94.26,125.3164557
329,Ear length,87.53,137.2151899
330,Ear length,107.73,131.8987342
331,Ear length,96.33,126.835443
332,Ear length,112.91,140.2531646
333,Ear length,96.07,124.0506329
334,Ear length,91.15,139.2405063
335,Ear length,121.71,144.3037975
336,Ear length,116.27,119.4936709
341,Ear length,91.67,157.4683544
342,Ear length,119.9,144.556962
343,Ear length,94.26,147.3417722
344,Ear length,133.11,160
346,Ear length,139.06,176.4556962
347,Ear length,104.36,169.3670886
348,Ear length,119.9,177.721519
349,Ear length,107.99,162.0253165
350,Ear length,127.41,183.7974684
361,Ear length,145.54,145.3164557
362,Ear length,144.24,146.3291139
363,Ear length,192.93,187.0886076
364,Ear length,141.65,144.556962
365,Ear length,212.35,212.4050633
366,Ear length,165.73,164.3037975
367,Ear length,168.07,168.8607595
368,Ear length,157.45,158.4810127
369,Ear length,166.51,158.4810127
370,Ear length,150.71,161.2658228
1 (1),Ear length,134.92,152.179638
1 (10),Ear length,152.01,152.434119
1 (11),Ear length,98.92,110.953716
1 (12),Ear length,176.61,176.609814
1 (13),Ear length,187.23,193.40556
1 (14),Ear length,142.43,142.763841
1 (15),Ear length,193.7,197.477256
1 (16),Ear length,145.02,154.215486
1 (17),Ear length,181.53,182.717358
1 (18),Ear length,182.05,180.427029
1 (19),Ear length,140.87,146.326575
1 (2),Ear length,109.54,147.344499
1 (20),Ear length,165.73,173.556042
1 (21),Ear length,177.65,178.391181
1 (22),Ear length,94.52,136.401816
1 (23),Ear length,148.13,160.068549
1 (24),Ear length,121.45,148.107942
1 (25),Ear length,175.57,200.531028
1 (26),Ear length,140.36,141.745917
1 (27),Ear length,174.02,177.118776
1 (28),Ear length,156.93,159.050625
1 (29),Ear length,148.9,140.473512
1 (3),Ear length,149.94,150.907233
1 (30),Ear length,111.61,138.946626
1 (31),Ear length,117.57,145.563132
1 (32),Ear length,131.03,143.527284
1 (33),Ear length,119.64,149.889309
1 (34),Ear length,101.51,179.918067
1 (35),Ear length,141.39,165.158169
1 (36),Ear length,117.31,172.029156
1 (37),Ear length,132.59,150.652752
1 (38),Ear length,164.96,170.756751
1 (39),Ear length,156.67,166.430574
1 (4),Ear length,170.4,172.283637
1 (40),Ear length,132.59,141.491436
1 (41),Ear length,149.16,159.050625
1 (42),Ear length,158.74,165.921612
1 (43),Ear length,157.71,178.1367
1 (44),Ear length,145.79,149.634828
1 (45),Ear length,146.57,160.831992
1 (46),Ear length,98.92,110.699235
1 (47),Ear length,169.36,169.484346
1 (48),Ear length,170.4,172.283637
1 (49),Ear length,136.21,157.77822
1 (5),Ear length,82.87,86.269059
1 (50),Ear length,92.71,134.111487
1 (51),Ear length,130.26,149.889309
1 (52),Ear length,126.37,166.176093
1 (53),Ear length,162.37,161.849916
1 (54),Ear length,149.16,161.086473
1 (55),Ear length,162.63,164.394726
1 (56),Ear length,164.96,176.100852
1 (57),Ear length,127.15,150.652752
1 (6),Ear length,132.59,142.50936
1 (7),Ear length,140.87,158.287182
1 (8),Ear length,135.95,157.014777
1 (9),Ear length,160.81,162.104397
2 (156),Ear length,125.6,124.8101266
2 (171),Ear length,116.01,116.9620253
2 (187),Ear length,102.03,95.94936709
2 (203),Ear length,147.87,147.3417722
2 (21),Ear length,184.38,185.3164557
cao (111),Ear length,42.47,124.8101266
cao (14),Ear length,165.22,164.3037975
cao (23),Ear length,136.73,155.9493671
cao (24),Ear length,154.08,155.443038
cao (25),Ear length,143.98,148.6075949
cao (26),Ear length,113.68,148.6075949
cao (301),Ear length,155.63,178.4810127
cao (302),Ear length,160.04,159.4936709
cao (303),Ear length,128.19,152.4050633
cao (304),Ear length,121.45,166.0759494
cao (305),Ear length,174.28,175.6962025
cao (306),Ear length,156.93,162.5316456
cao (307),Ear length,173.24,174.9367089
cao (308),Ear length,176.87,178.4810127
cao (373),Ear length,114.72,159.4936709
cao (374),Ear length,144.76,165.3164557
cao (376),Ear length,113.17,142.278481
cao (408),Ear length,84.16,150.8860759
cao (409),Ear length,89.08,119.7468354
cao (410),Ear length,76.13,141.2658228
cao (411),Ear length,82.09,123.7974684
cao (412),Ear length,84.42,110.1265823
cao (413),Ear length,111.35,137.2151899
cao (414),Ear length,92.45,158.2278481
cao (415),Ear length,99.44,147.5949367
cao (416),Ear length,102.29,151.3924051
cao (417),Ear length,89.34,123.5443038
cao (418),Ear length,100.99,163.2911392
cao (419),Ear length,113.94,115.9493671
cao (420),Ear length,138.8,132.1518987
cao (421),Ear length,125.85,131.6455696
cao (423),Ear length,120.16,122.7848101
cao (7),Ear length,110.58,151.1392405
cao (8),Ear length,103.07,128.1012658
21,Ear width,35.61,40.34707158
173,Ear width,40.59,39.26247289
190,Ear width,43.33,42.95010846
191,Ear width,37.6,42.29934924
192,Ear width,39.09,40.13015184
193,Ear width,41.33,41.43167028
194,Ear width,40.84,40.9978308
195,Ear width,36.85,42.51626898
201,Ear width,34.86,38.82863341
202,Ear width,45.82,46.85466377
219,Ear width,38.59,37.96095445
233,Ear width,55.78,51.62689805
235,Ear width,56.27,50.97613883
304,Ear width,46.06,47.28850325
305,Ear width,41.83,43.60086768
308,Ear width,40.34,40.9978308
313,Ear width,39.84,37.96095445
314,Ear width,40.59,39.04555315
315,Ear width,43.58,41.64859002
320,Ear width,44.32,44.90238612
321,Ear width,28.88,35.14099783
323,Ear width,38.1,39.04555315
325,Ear width,37.85,39.26247289
326,Ear width,34.36,40.78091106
327,Ear width,36.85,39.9132321
328,Ear width,38.84,41.21475054
329,Ear width,38.84,40.56399132
330,Ear width,40.59,38.39479393
331,Ear width,38.59,36.65943601
332,Ear width,36.35,39.69631236
333,Ear width,41.58,39.9132321
334,Ear width,41.83,39.47939262
335,Ear width,40.84,41.21475054
336,Ear width,42.33,43.1670282
341,Ear width,36.1,38.61171367
342,Ear width,38.35,37.52711497
343,Ear width,34.86,36.00867679
344,Ear width,41.09,40.9978308
346,Ear width,41.83,40.78091106
347,Ear width,47.81,42.95010846
348,Ear width,47.81,43.38394794
349,Ear width,42.58,40.56399132
350,Ear width,42.08,39.69631236
361,Ear width,42.83,45.3362256
362,Ear width,52.04,48.80694143
363,Ear width,50.55,49.24078091
364,Ear width,44.57,41.64859002
365,Ear width,48.31,47.07158351
366,Ear width,47.81,45.55314534
367,Ear width,47.81,44.68546638
368,Ear width,45.32,44.03470716
369,Ear width,48.55,47.07158351
370,Ear width,40.84,43.81778742
1 (1),Ear width,25.65,35.62734
1 (10),Ear width,39.59,46.570023
1 (11),Ear width,32.87,38.426631
1 (12),Ear width,34.61,43.007289
1 (13),Ear width,33.37,40.971441
1 (14),Ear width,40.59,40.971441
1 (15),Ear width,34.36,43.007289
1 (16),Ear width,34.61,41.480403
1 (17),Ear width,31.62,40.462479
1 (18),Ear width,33.62,39.444555
1 (19),Ear width,36.6,39.953517
1 (2),Ear width,30.63,39.190074
1 (20),Ear width,34.11,40.71696
1 (21),Ear width,30.13,38.935593
1 (22),Ear width,28.64,35.62734
1 (23),Ear width,32.37,36.899745
1 (24),Ear width,32.12,42.243846
1 (25),Ear width,33.86,40.462479
1 (26),Ear width,27.89,36.390783
1 (27),Ear width,38.59,42.243846
1 (28),Ear width,39.84,39.699036
1 (29),Ear width,38.1,37.408707
1 (3),Ear width,35.86,43.007289
1 (30),Ear width,29.13,36.899745
1 (31),Ear width,25.4,38.681112
1 (32),Ear width,32.12,41.225922
1 (33),Ear width,31.87,41.734884
1 (34),Ear width,28.39,42.498327
1 (35),Ear width,31.12,38.17215
1 (36),Ear width,28.64,35.881821
1 (37),Ear width,31.87,35.372859
1 (38),Ear width,33.86,40.462479
1 (39),Ear width,31.62,40.207998
1 (4),Ear width,33.12,40.71696
1 (40),Ear width,32.87,36.136302
1 (41),Ear width,31.62,40.71696
1 (42),Ear width,34.11,42.498327
1 (43),Ear width,40.34,44.788656
1 (44),Ear width,37.6,43.770732
1 (45),Ear width,34.11,36.390783
1 (46),Ear width,32.87,39.953517
1 (47),Ear width,39.34,45.043137
1 (48),Ear width,36.6,39.699036
1 (49),Ear width,32.12,40.971441
1 (5),Ear width,26.14,33.845973
1 (50),Ear width,26.14,39.699036
1 (51),Ear width,32.37,36.899745
1 (52),Ear width,24.9,41.480403
1 (53),Ear width,33.62,37.663188
1 (54),Ear width,37.35,40.462479
1 (55),Ear width,35.36,41.480403
1 (56),Ear width,39.34,49.369314
1 (57),Ear width,31.87,38.681112
1 (6),Ear width,32.87,36.899745
1 (7),Ear width,28.64,38.426631
1 (8),Ear width,30.13,39.953517
1 (9),Ear width,34.86,45.043137
2 (156),Ear width,45.07,43.38394794
2 (171),Ear width,36.35,36.87635575
2 (187),Ear width,35.61,36.87635575
2 (203),Ear width,47.56,47.28850325
2 (21),Ear width,55.28,52.06073753
cao (111),Ear width,24.4,33.18872017
cao (14),Ear width,38.59,37.96095445
cao (23),Ear width,39.09,37.31019523
cao (24),Ear width,41.33,40.13015184
cao (25),Ear width,39.59,40.34707158
cao (26),Ear width,38.84,46.20390456
cao (301),Ear width,50.55,49.45770065
cao (302),Ear width,47.56,45.11930586
cao (303),Ear width,47.81,44.46854664
cao (304),Ear width,47.81,48.15618221
cao (305),Ear width,49.05,47.72234273
cao (306),Ear width,47.81,46.4208243
cao (307),Ear width,48.06,45.3362256
cao (308),Ear width,48.55,49.89154013
cao (373),Ear width,43.08,42.29934924
cao (374),Ear width,41.09,41.86550976
cao (376),Ear width,47.81,43.81778742
cao (408),Ear width,45.32,42.95010846
cao (409),Ear width,44.82,43.1670282
cao (410),Ear width,48.31,44.90238612
cao (411),Ear width,44.07,41.43167028
cao (412),Ear width,43.82,41.86550976
cao (413),Ear width,48.31,44.90238612
cao (414),Ear width,45.82,43.1670282
cao (415),Ear width,43.58,41.21475054
cao (416),Ear width,45.07,42.51626898
cao (417),Ear width,37.35,37.31019523
cao (418),Ear width,40.34,40.13015184
cao (419),Ear width,39.59,38.61171367
cao (420),Ear width,43.33,41.86550976
cao (421),Ear width,39.84,42.29934924
cao (423),Ear width,35.11,39.04555315
cao (7),Ear width,41.09,38.82863341
cao (8),Ear width,41.58,39.04555315
21,Normal kernel number,191,176
173,Normal kernel number,168,164
190,Normal kernel number,230,220
191,Normal kernel number,200,200
192,Normal kernel number,297,252
193,Normal kernel number,321,250
194,Normal kernel number,177,172
195,Normal kernel number,209,212
201,Normal kernel number,177,158
202,Normal kernel number,218,184
219,Normal kernel number,162,158
233,Normal kernel number,460,340
235,Normal kernel number,477,332
304,Normal kernel number,306,262
305,Normal kernel number,221,206
308,Normal kernel number,295,252
313,Normal kernel number,306,248
